Name;CAPEC ID;Similarity_orca;Similarity_our
T-SMO-08;CAPEC-480;0.5513706;
T-SMO-08;CAPEC-533;;0.55135447
T-SMO-08;CAPEC-8;0.5723718;0.56405556
T-SMO-08;CAPEC-88;0.5653407;0.5692332
T-SMO-13;CAPEC-268;0.6101878;0.62006986
T-SMO-13;CAPEC-93;0.5837768;0.6038709
T-SMO-14;CAPEC-268;0.57185745;0.5823553
T-SMO-14;CAPEC-93;;0.5591623
T-SMO-15;CAPEC-268;0.5797652;0.58019584
T-SMO-15;CAPEC-93;0.5541663;0.5583845
T-SMO-16;CAPEC-268;0.57208484;0.5847624
T-SMO-16;CAPEC-93;0.5608476;0.5778322
T-SMO-17;CAPEC-268;0.62906784;0.62814313
T-SMO-17;CAPEC-81;0.56076944;0.5608243
T-SMO-17;CAPEC-93;0.5861021;0.5864259
T-SMO-18;CAPEC-268;0.5865958;0.6103134
T-SMO-18;CAPEC-93;;0.5593817
T-SMO-22;CAPEC-125;0.554157;
T-SMO-24;CAPEC-125;0.5519141;
T-SMO-28;CAPEC-113;0.5655027;0.56240326
T-SMO-29;CAPEC-125;0.5871885;0.5782073
T-SMO-29;CAPEC-482;0.59322923;0.5853745
T-SMO-29;CAPEC-486;0.60713315;0.5819076
T-SMO-29;CAPEC-594;0.56831545;0.552509
T-SPLANE-05;CAPEC-621;0.5832449;0.5786
T-SharedORU-05;CAPEC-593;0.5569844;0.5545138
T-SharedORU-06;CAPEC-593;0.58873844;0.5959338
T-SharedORU-07;CAPEC-102;0.562333;0.5573496
T-SharedORU-07;CAPEC-114;0.5932565;0.579238
T-SharedORU-07;CAPEC-115;0.5799538;0.569744
T-SharedORU-07;CAPEC-132;0.58781207;
T-SharedORU-07;CAPEC-180;0.58270264;0.5518044
T-SharedORU-07;CAPEC-21;0.59001327;0.5688858
T-SharedORU-07;CAPEC-22;0.5628637;
T-SharedORU-07;CAPEC-387;0.5686405;0.56007814
T-SharedORU-07;CAPEC-502;0.56823653;0.5514382
T-SharedORU-07;CAPEC-505;0.5870464;0.55551124
T-SharedORU-07;CAPEC-510;0.6049447;0.5842844
T-SharedORU-07;CAPEC-555;0.56991875;
T-SharedORU-07;CAPEC-59;0.5665726;0.5584504
T-SharedORU-07;CAPEC-593;0.64342713;0.6315417
T-SharedORU-07;CAPEC-615;0.55626976;
T-SharedORU-07;CAPEC-633;0.5568391;
T-SharedORU-07;CAPEC-662;0.5535679;
T-SharedORU-07;CAPEC-88;0.5555794;
T-SharedORU-18;CAPEC-114;0.5763206;0.57292104
T-SharedORU-19;CAPEC-114;0.6024623;0.6015023
T-SharedORU-19;CAPEC-593;0.57004124;0.57011914
T-SharedORU-20;CAPEC-114;0.55241907;
T-SharedORU-29;CAPEC-12;0.5698118;0.56983083
T-SharedORU-35;CAPEC-697;0.5888394;0.5877352
T-SharedORU-36;CAPEC-142;0.5683432;0.5723663
T-SharedORU-36;CAPEC-275;0.5590242;0.5748302
T-SharedORU-36;CAPEC-291;0.61080015;0.61592656
T-SharedORU-36;CAPEC-4;0.5567111;0.5693342
T-SharedORU-36;CAPEC-585;0.575119;0.5822847
T-SharedORU-36;CAPEC-589;0.5751736;0.5921142
T-SharedORU-36;CAPEC-598;0.61041903;0.6172576
T-SharedORU-42;CAPEC-122;0.56554556;
T-VL-01;CAPEC-480;0.5583565;
T-VM-C-01;CAPEC-122;0.5534709;
T-VM-C-01;CAPEC-480;0.6158917;0.60782355
T-VM-C-02;CAPEC-480;;0.5509189
T-rAPP-02;CAPEC-482;0.551203;0.55743736
T-rAPP-03;CAPEC-482;0.5612774;0.55341774
T-rAPP-04;CAPEC-114;0.6276523;0.62067
T-rAPP-04;CAPEC-115;0.6161448;0.5991551
T-rAPP-04;CAPEC-180;0.5518694;0.55219173
T-rAPP-04;CAPEC-2;;0.55014163
T-rAPP-04;CAPEC-593;0.5615017;0.5629063
T-rAPP-06;CAPEC-101;0.5516037;
T-rAPP-06;CAPEC-110;0.5500357;0.5536871
T-rAPP-06;CAPEC-114;0.6365402;0.6362062
T-rAPP-06;CAPEC-115;0.62690127;0.6189108
T-rAPP-06;CAPEC-136;0.61389184;0.6201453
T-rAPP-06;CAPEC-137;0.5741152;0.57521886
T-rAPP-06;CAPEC-180;0.5699923;0.57195455
T-rAPP-06;CAPEC-242;0.56121945;0.55640274
T-rAPP-06;CAPEC-248;0.5931102;0.59220076
T-rAPP-06;CAPEC-250;0.5694611;0.5730015
T-rAPP-06;CAPEC-500;0.55612546;0.5552993
