Name;CAPEC ID;Similarity_orca;Similarity_our
T-SMO-08;CAPEC-388;0.582065;0.59121937
T-SMO-08;CAPEC-389;0.5574804;0.5728441
T-SMO-08;CAPEC-480;0.5513706;
T-SMO-08;CAPEC-533;;0.5532035
T-SMO-08;CAPEC-6;;0.5515572
T-SMO-08;CAPEC-681;;0.5511882
T-SMO-08;CAPEC-8;0.5723718;0.58171034
T-SMO-08;CAPEC-88;0.5653407;0.576605
T-SMO-13;CAPEC-268;0.6101878;0.6296784
T-SMO-13;CAPEC-93;0.5837768;0.6047346
T-SMO-14;CAPEC-268;0.57185745;0.5827831
T-SMO-14;CAPEC-93;;0.55037135
T-SMO-15;CAPEC-268;0.5797652;0.58352304
T-SMO-15;CAPEC-93;0.5541663;0.5519789
T-SMO-16;CAPEC-268;0.57208484;0.5932014
T-SMO-16;CAPEC-93;0.5608476;0.57315624
T-SMO-17;CAPEC-268;0.62906784;0.62039286
T-SMO-17;CAPEC-81;0.56076944;
T-SMO-17;CAPEC-93;0.5861021;0.57568353
T-SMO-18;CAPEC-268;0.5865958;0.5911828
T-SMO-22;CAPEC-125;0.554157;0.5531374
T-SMO-22;CAPEC-482;;0.55039334
T-SMO-24;CAPEC-125;0.5519141;0.5503758
T-SMO-28;CAPEC-113;0.5655027;
T-SMO-29;CAPEC-125;0.5871885;0.57279176
T-SMO-29;CAPEC-482;0.59322923;0.5764487
T-SMO-29;CAPEC-486;0.60713315;0.5759476
T-SMO-29;CAPEC-594;0.56831545;
T-SPLANE-05;CAPEC-320;;0.55340415
T-SPLANE-05;CAPEC-621;0.5832449;0.5848937
T-SharedORU-05;CAPEC-505;;0.5506667
T-SharedORU-05;CAPEC-593;0.5569844;
T-SharedORU-06;CAPEC-505;;0.5577475
T-SharedORU-06;CAPEC-593;0.58873844;0.5729989
T-SharedORU-07;CAPEC-102;0.562333;
T-SharedORU-07;CAPEC-114;0.5932565;
T-SharedORU-07;CAPEC-115;0.5799538;
T-SharedORU-07;CAPEC-132;0.58781207;0.5525973
T-SharedORU-07;CAPEC-180;0.58270264;
T-SharedORU-07;CAPEC-21;0.59001327;0.56585824
T-SharedORU-07;CAPEC-22;0.5628637;
T-SharedORU-07;CAPEC-387;0.5686405;0.5646867
T-SharedORU-07;CAPEC-502;0.56823653;0.55596745
T-SharedORU-07;CAPEC-505;0.5870464;0.5689967
T-SharedORU-07;CAPEC-510;0.6049447;0.56163013
T-SharedORU-07;CAPEC-555;0.56991875;
T-SharedORU-07;CAPEC-59;0.5665726;
T-SharedORU-07;CAPEC-593;0.64342713;0.5991112
T-SharedORU-07;CAPEC-615;0.55626976;
T-SharedORU-07;CAPEC-633;0.5568391;
T-SharedORU-07;CAPEC-662;0.5535679;
T-SharedORU-07;CAPEC-88;0.5555794;
T-SharedORU-18;CAPEC-114;0.5763206;0.57637787
T-SharedORU-19;CAPEC-114;0.6024623;0.6049711
T-SharedORU-19;CAPEC-593;0.57004124;0.5705915
T-SharedORU-20;CAPEC-114;0.55241907;0.5535997
T-SharedORU-29;CAPEC-12;0.5698118;0.5515753
T-SharedORU-35;CAPEC-697;0.5888394;0.5870605
T-SharedORU-36;CAPEC-142;0.5683432;0.5739396
T-SharedORU-36;CAPEC-275;0.5590242;0.5808104
T-SharedORU-36;CAPEC-291;0.61080015;0.61683315
T-SharedORU-36;CAPEC-4;0.5567111;0.5760214
T-SharedORU-36;CAPEC-585;0.575119;0.58948004
T-SharedORU-36;CAPEC-589;0.5751736;0.5963432
T-SharedORU-36;CAPEC-598;0.61041903;0.624131
T-SharedORU-42;CAPEC-122;0.56554556;0.5755696
T-VL-01;CAPEC-480;0.5583565;
T-VM-C-01;CAPEC-122;0.5534709;
T-VM-C-01;CAPEC-480;0.6158917;0.6170242
T-VM-C-02;CAPEC-480;;0.59423697
T-rAPP-02;CAPEC-482;0.551203;0.5618427
T-rAPP-03;CAPEC-482;0.5612774;0.56496376
T-rAPP-04;CAPEC-114;0.6276523;0.62466383
T-rAPP-04;CAPEC-115;0.6161448;0.5992744
T-rAPP-04;CAPEC-180;0.5518694;0.5569437
T-rAPP-04;CAPEC-593;0.5615017;0.56863177
T-rAPP-06;CAPEC-101;0.5516037;
T-rAPP-06;CAPEC-110;0.5500357;0.5510856
T-rAPP-06;CAPEC-114;0.6365402;0.62628996
T-rAPP-06;CAPEC-115;0.62690127;0.608992
T-rAPP-06;CAPEC-136;0.61389184;0.6158935
T-rAPP-06;CAPEC-137;0.5741152;0.58631414
T-rAPP-06;CAPEC-180;0.5699923;0.5661589
T-rAPP-06;CAPEC-242;0.56121945;
T-rAPP-06;CAPEC-248;0.5931102;0.593744
T-rAPP-06;CAPEC-250;0.5694611;0.56686735
T-rAPP-06;CAPEC-500;0.55612546;
T-rAPP-06;CAPEC-593;0.5861227;0.5765918
T-rAPP-06;CAPEC-594;0.55173355;
T-rAPP-06;CAPEC-6;0.6151837;0.61923486
T-rAPP-06;CAPEC-66;0.5855254;0.5837479
T-rAPP-06;CAPEC-664;0.5900047;0.5728258
T-rAPP-06;CAPEC-81;0.5504652;
T-rAPP-06;CAPEC-83;0.5543684;0.5568924
T-rAPP-06;CAPEC-88;0.56116503;0.55464697
T-rAPP-06;CAPEC-90;0.5528551;0.5597125
T-rAPP-06;CAPEC-93;0.588403;0.56130475
